Fecha,Total,Cruceristas,Excursionista,Turista,Viajero,Turista + Excursionista,País: Guatemala,País: El Salvador,País: Estados Unidos de América
2019-03-01,399233.16485603753,20991.000000000004,97543.18619068149,262214.80415193137,18484.17451342468,359757.99034261284,135906.0,123670.0,44551.0
2019-04-01,438126.02571626974,17393.0,95710.29055320339,292828.25760929415,32194.477553772213,388538.5481624975,164044.99999999919,137113.0,37232.99999999987
2019-05-01,322838.7189971024,1992.0,81602.63533776085,217694.70477538428,21549.37888395729,299297.3401131451,124257.99999999924,97409.0,33982.00000000025
2019-06-01,360723.62495207327,0.0,94913.65444582622,238247.90092015782,27562.069586089216,333161.55536598404,150470.99999999884,96354.0,52871.00000000017
2019-07-01,424549.22910102265,1966.0,95452.13804104785,269881.55293089134,57249.53812908346,365333.6909719392,156051.0,107991.0,54990.0
2019-08-01,435156.2167264152,0.0,114525.4099550342,250987.34433162864,69643.46243975234,365512.75428666285,149648.9999999998,165263.0,36383.00000000021
2019-09-01,326378.553693717,1294.0,83907.14186851212,214342.93537444444,26834.476450760445,298250.07724295655,147026.99999999942,89768.0,23190.00000000007
2019-10-01,333222.5816606803,17004.0,73588.13305879661,220915.85830545585,21714.59029642785,294503.99136425246,129828.99999999869,85655.0,29738.00000000001
2019-11-01,404633.87888198986,23599.0,82871.75217652663,252912.17390200947,45250.95280345374,335783.9260785361,145411.00000000244,119801.00000000001,34386.99999999978
2019-12-01,515820.44595176575,9352.0,105102.87821493162,344011.1922852358,57354.37545159835,449114.07050016744,207097.0000000001,160692.0,48382.99999999991
2020-01-01,465740.1746839287,19028.0,107385.8761623657,280836.7264992459,58489.572022317116,388222.6026616116,173175.0,146886.0,38743.0
2020-02-01,389261.6257059582,16419.0,97933.4336537368,219984.54286385525,54924.64918836619,317917.9765175921,135558.0,124678.0,38107.0
2020-03-01,176870.29003846797,6545.0,45664.70451778982,109750.87157427458,14909.713946403555,155415.5760920644,71496.0,44917.0,17969.0
2020-04-01,10039.0,0.0,0.0,10039.0,0.0,10039.0,10039.0,0.0,0.0
2020-05-01,9779.0,0.0,0.0,9779.0,0.0,9779.0,9779.0,0.0,0.0
2020-06-01,11817.0,0.0,0.0,11817.0,0.0,11817.0,11817.0,0.0,0.0
2020-07-01,13484.0,0.0,0.0,13484.0,0.0,13484.0,13484.0,0.0,0.0
2020-08-01,15357.0,0.0,0.0,15357.0,0.0,15357.0,15357.0,0.0,0.0
2020-09-01,25389.528915275994,0.0,353.0,12219.49268292683,12817.036232349166,12572.49268292683,13800.0,7254.0,1134.0
2020-10-01,30538.524452566482,0.0,1705.1302395120001,14975.654109443129,13857.740103611353,16680.78434895513,14454.500000000007,8576.920058910006,2890.563772446
2020-11-01,58632.0,0.0,939.0,51926.0,5767.0,52865.0,23765.0,11528.0,11267.0
2020-12-01,59432.0,0.0,8592.0,47028.0,3812.0,55620.0,40254.0,573.0,12291.0
2021-01-01,104620.0,0.0,11337.0,78623.0,14660.0,89960.0,52694.0,17086.0,12140.0
2021-02-01,65463.0,0.0,3287.0,49318.0,12858.0,52605.0,36690.0,14657.0,6427.0
2021-03-01,105145.0549412881,0.0,2314.0,82703.39633341735,20127.658607870748,85017.39633341735,40699.0,20788.0,22824.0
